# Baseline dpkg manifest of the agent base image (AGENT_BASE_IMAGE).
#
# Captured with:
#   make capture-base-packages
#
# collect-sources.sh diffs the built image against this file to determine
# which packages the image adds, and fetches source for those.
#
# Format: <package>\t<version>\t<source-package>\t<source-version>
adduser	3.137ubuntu1	adduser	3.137ubuntu1
libtinfo6	6.4+20240113-1ubuntu2	ncurses	6.4+20240113-1ubuntu2
libtsan2	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libubsan1	14.2.0-4ubuntu2~24.04	gcc-14	14.2.0-4ubuntu2~24.04
libudev1	255.4-1ubuntu8.10	systemd	255.4-1ubuntu8.10
libunistring5	1.1-2build1.1	libunistring	1.1-2build1.1
libuuid1	2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
libxxhash0	0.8.2-2build1	xxhash	0.8.2-2build1
libzstd1	1.5.5+dfsg2-2build1.1	libzstd	1.5.5+dfsg2-2build1.1
linux-libc-dev	6.8.0-87.88	linux	6.8.0-87.88
login	1:4.13+dfsg1-4ubuntu3.2	shadow	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1	e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
lto-disabled-list	47	lto-disabled-list	47
make	4.3-4.1build2	make-dfsg	4.3-4.1build2
mawk	1.3.4.20240123-1build1	mawk	1.3.4.20240123-1build1
media-types	10.1.0	media-types	10.1.0
mlnx-dpdk	22.11.0-2507.1.0.2507097	mlnx-dpdk	22.11.0-2507.1.0.2507097
mount	2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
nano	7.2-2ubuntu0.1	nano	7.2-2ubuntu0.1
ncurses-base	6.4+20240113-1ubuntu2	ncurses	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2	ncurses	6.4+20240113-1ubuntu2
netbase	6.4	netbase	6.4
nsight-compute-2025.3.1	2025.3.1.4-1	nsight-compute	2025.3.1.4-1
nsight-systems-cli-2025.5.1	2025.5.1.121-255136380782v0	nsight-systems-cli-2025.5.1	2025.5.1.121-255136380782v0
numactl	2.0.18-1build1	numactl	2.0.18-1build1
openssh-client	1:9.6p1-3ubuntu13.14	openssh	1:9.6p1-3ubuntu13.14
openssl	3.0.13-0ubuntu3.6	openssl	3.0.13-0ubuntu3.6
passwd	1:4.13+dfsg1-4ubuntu3.2	shadow	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3	patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1ubuntu0.1	pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1	pciutils	1:3.10.0-2build1
perl	5.38.2-3.2ubuntu0.2	perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2	perl	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2	perl	5.38.2-3.2ubuntu0.2
pinentry-curses	1.2.1-3ubuntu5	pinentry	1.2.1-3ubuntu5
pkgconf	1.8.1-2build1	pkgconf	1.8.1-2build1
pkgconf-bin	1.8.1-2build1	pkgconf	1.8.1-2build1
procps	2:4.0.4-4ubuntu3.2	procps	2:4.0.4-4ubuntu3.2
readline-common	8.2-4build1	readline	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7	rpcsvc-proto	1.4.2-0ubuntu7
sed	4.9-2build1	sed	4.9-2build1
sensible-utils	0.0.22	sensible-utils	0.0.22
sgml-base	1.31	sgml-base	1.31
sysvinit-utils	3.08-6ubuntu3	sysvinit	3.08-6ubuntu3
tar	1.35+dfsg-3build1	tar	1.35+dfsg-3build1
tensorrt-dev	10.14.1.48-1+cuda13.0	tensorrt	10.14.1.48-1+cuda13.0
tzdata	2025b-0ubuntu0.24.04.1	tzdata	2025b-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1	ubuntu-keyring	2023.11.28.1
unminimize	0.2.1	unminimize	0.2.1
unzip	6.0-28ubuntu4.1	unzip	6.0-28ubuntu4.1
usb.ids	2024.03.18-1	usb.ids	2024.03.18-1
util-linux	2.39.3-9ubuntu6.3	util-linux	2.39.3-9ubuntu6.3
vim	2:9.1.0016-1ubuntu7.9	vim	2:9.1.0016-1ubuntu7.9
vim-common	2:9.1.0016-1ubuntu7.9	vim	2:9.1.0016-1ubuntu7.9
vim-runtime	2:9.1.0016-1ubuntu7.9	vim	2:9.1.0016-1ubuntu7.9
vim-tiny	2:9.1.0016-1ubuntu7.9	vim	2:9.1.0016-1ubuntu7.9
wget	1.21.4-1ubuntu4.1	wget	1.21.4-1ubuntu4.1
xml-core	0.19	xml-core	0.19
xz-utils	5.6.1+really5.4.5-1ubuntu0.2	xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zlib1g	1:1.3.dfsg-3.1ubuntu2.1	zlib	1:1.3.dfsg-3.1ubuntu2.1
